Name	Molecular form	Microbe	Strain	Target	PubMed ID
"2,4-Difluorophenylalanine"	C9H9F2NO2	Staphylococcus aureus	SC01	N/A	25658642
"2,4-Difluorophenylalanine"	C9H9F2NO2	Staphylococcus epidermis	ATCC 12228	N/A	25658642
"2,4-Dimethylphenylalanine"	C11H15NO2	Staphylococcus aureus	SC01	N/A	25658642
"2,4-Dimethylphenylalanine"	C11H15NO2	Staphylococcus aureus	ATCC 25923	N/A	25658642
"2,4-Dimethylphenylalanine"	C11H15NO2	Staphylococcus epidermis	ATCC 12228	N/A	25658642
"2,4-Dinitro-D-phenylalanine"	C9H9N3O6	Staphylococcus epidermis	ATCC 12228	N/A	25658642
"2,5-bis(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-1,3,4-oxadiazole"	C11H6Br4N4O	Pseudomonas aeruginosa	ATCC 27853	N/A	26125599
"2,5-bis(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-1,3,4-oxadiazole"	C11H6Br4N4O	Staphylococcus aureus	ATCC 35556	N/A	26125599
"2,5-bis(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-1,3,4-oxadiazole"	C11H6Br4N4O	Staphylococcus aureus	ATCC 43866 (MRSA)	N/A	26125599
"2,5-bis(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-1,3,4-oxadiazole"	C11H6Br4N4O	Streptococcus epidermidis	ATCC 35984	N/A	26125599
2-amino-3-(2-nitrophenyl)propanoic acid	C9H10N2O4	Staphylococcus epidermis	ATCC 12228	N/A	25658642
2-amino-3-(3-chlorophenyl)propanoic acid	C9H10ClNO2	Staphylococcus aureus	SC01	N/A	25658642
2-amino-3-(3-chlorophenyl)propanoic acid	C9H10ClNO2	Staphylococcus aureus	ATCC 25923	N/A	25658642
2-amino-3-(3-chlorophenyl)propanoic acid	C9H10ClNO2	Staphylococcus epidermis	ATCC 12228	N/A	25658642
2-amino-3-(3-nitrophenyl)propanoic acid	C9H10N2O4	Staphylococcus aureus	ATCC 25923	N/A	25658642
2-amino-3-(3-nitrophenyl)propanoic acid	C9H10N2O4	Staphylococcus epidermis	ATCC 12228	N/A	25658642
2-amino-3-(4-methylbenzenesulfinyl)propanoic acid	C10H13NO3S	Actinomyces oris	MG1	N/A	25081571
2-amino-3-(4-methylbenzenesulfinyl)propanoic acid	C10H13NO3S	Streptococcus mutans	UA159	N/A	25081571
2-amino-3-(4-methylbenzenesulfinyl)propanoic acid	C10H13NO3S	Streptococcus sanguis	10556	N/A	25081571
2-amino-3-(prop-2-ene-1-sulfinyl)propanoic acid	C6H11NO3S	Streptococcus mutans	UA159	N/A	25081571
2-amino-3-(propane-1-sulfinyl)propanoic acid	C6H13NO3S	Streptococcus mutans	UA159	N/A	25081571
2-amino-4-chlorobenzoic acid	C7H6ClNO2	Burkholderia cenocepacia	LMG 18828	N/A	19146953
2-amino-4-chlorobenzoic acid	C7H6ClNO2	Burkholderia cenocepacia	LMG 16656	N/A	19146953
2-amino-4-chlorobenzoic acid	C7H6ClNO2	Burkholderia multivorans	LMG 13010	N/A	19146953
2-amino-4-chlorobenzoic acid	C7H6ClNO2	Burkholderia multivorans	LMG 17588	N/A	19146953
2-amino-5-methoxy-5-oxopentanoic acid	C6H11NO4	Staphylococcus aureus	ATCC 25923	N/A	25658642
2-amino-5-methoxy-5-oxopentanoic acid	C6H11NO4	Staphylococcus epidermis	ATCC 12228	N/A	25658642
2-amino-6-chlorobenzoic acid	C7H6ClNO2	Burkholderia cenocepacia	LMG 18828	N/A	19146953
2-amino-6-chlorobenzoic acid	C7H6ClNO2	Burkholderia cenocepacia	LMG 16656	N/A	19146953
2-amino-6-chlorobenzoic acid	C7H6ClNO2	Burkholderia multivorans	LMG 13010	N/A	19146953
2-amino-6-chlorobenzoic acid	C7H6ClNO2	Burkholderia multivorans	LMG 17588	N/A	19146953
2-amino-6-fluorobenzoic acid	C7H6FNO2	Burkholderia cenocepacia	LMG 18828	N/A	19146953
2-amino-6-fluorobenzoic acid	C7H6FNO2	Burkholderia cenocepacia	LMG 16656	N/A	19146953
2-amino-6-fluorobenzoic acid	C7H6FNO2	Burkholderia multivorans	LMG 13010	N/A	19146953
2-amino-6-fluorobenzoic acid	C7H6FNO2	Burkholderia multivorans	LMG 17588	N/A	19146953
2-amino-imidazole/ triazole conjugate	C24H46ClN7O	Streptococcus mutans	UA159	N/A	26294263
"2-Benzyl-5-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-1,3,4-oxadiazole"	C14H11Br2N3O	Pseudomonas aeruginosa	ATCC 27853	N/A	26125599
"2-Benzyl-5-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-1,3,4-oxadiazole"	C14H11Br2N3O	Staphylococcus aureus	ATCC 35556	N/A	26125599
"2-Benzyl-5-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-1,3,4-oxadiazole"	C14H11Br2N3O	Staphylococcus aureus	ATCC 43866 (MRSA)	N/A	26125599
"2-Benzyl-5-(4,5-dibromo-1-methyl-1H-pyrrol-2-yl)-1,3,4-oxadiazole"	C14H11Br2N3O	Streptococcus epidermidis	ATCC 35984	N/A	26125599
"2-bromo-4-methyl-6-(3,4,5-tribromo-1H-pyrrole-2-carbonyl)phenol"	C12H7Br4NO2	Staphylococcus aureus	ATCC 29213	N/A	15784315
"2-bromo-4-methyl-6-(3,4,5-tribromo-1H-pyrrole-2-carbonyl)phenol"	C12H7Br4NO2	Staphylococcus epidermidis	DSM 3269	N/A	15784315
2-bromodecanoic acid	C10H19BrO2	Pseudomonas aeruginosa	PA14	N/A	24023921
2-bromodecanoic acid	C10H19BrO2	Pseudomonas aeruginosa	PAO1	N/A	24023921
2-bromohexanoic acid	C6H11BrO2	Pseudomonas aeruginosa	PA14	N/A	24023921
2-bromohexanoic acid	C6H11BrO2	Pseudomonas aeruginosa	PAO1	N/A	24023921
2-bromooctanoic acid	C8H15BrO2	Pseudomonas aeruginosa	PA14	N/A	24023921
2-bromooctanoic acid	C8H15BrO2	Pseudomonas aeruginosa	PAO1	N/A	24023921
2C-4	C54H65N15O7	Streptococcus mutans	UA159	N/A	20211885
2-Carbamoylphenylalanine	C10H12N2O3	Staphylococcus aureus	SC01	N/A	25658642
2-Carbamoylphenylalanine	C10H12N2O3	Staphylococcus aureus	ATCC 25923	N/A	25658642
2-Carbamoylphenylalanine	C10H12N2O3	Staphylococcus epidermis	ATCC 12228	N/A	25658642
2-Chloro-DL-Phenylalanine	C9H10ClNO2	Staphylococcus epidermis	ATCC 12228	N/A	25658642
2-Cyano-D-phenylalanine	C10H10N2O2	Staphylococcus epidermis	ATCC 12228	N/A	25658642
2-Fluoro-L-phenylalanine	C9H10FNO2	Staphylococcus epidermis	ATCC 12228	N/A	25658642
2-geranyloxy-1-(2-methylpropanoyl)phloroglucinol	C20H28O4	Staphylococcus aureus	ATCC 35556	N/A	22170780
2-geranyloxy-1-(2-methylpropanoyl)phloroglucinol	C20H28O4	Staphylococcus aureus	L32 (MRSA)	N/A	22170780
2-geranyloxy-1-(2-methylpropanoyl)phloroglucinol	C20H28O4	Staphylococcus epidermidis	ATCC 35984	N/A	22170780
"2-geranyloxy-4,6-dihydroxybenzophenone"	C23H26O4	Staphylococcus aureus	ATCC 35556	N/A	22170780
"2-geranyloxy-4,6-dihydroxybenzophenone"	C23H26O4	Staphylococcus aureus	L32 (MRSA)	N/A	22170780
"2-geranyloxy-4,6-dihydroxybenzophenone"	C23H26O4	Staphylococcus epidermidis	ATCC 35984	N/A	22170780
2-Hexylmaleic anhydride	C10H14O3	Salmonella enterica	Serovar Typhimurium ATCC14028	N/A	20580562
2-Hydroxychalcone	C15H12O2	Haemophilus influenzae	NU7	N/A	25154700
2-Hydroxychalcone	C15H12O2	Haemophilus influenzae	NU38	N/A	25154700
2-Hydroxychalcone	C15H12O2	Haemophilus influenzae	NU48	N/A	25154700
2-Methoxy-4-propylphenol	C10H14O2	Escherichia coli	O157:H7	N/A	27808174
2-methoxy-cinnamaldehyde	C10H10O2	Vibrio anguillarum	LMG 4411	N/A	18793453
2-methoxy-cinnamaldehyde	C10H10O2	Vibrio vulnificus	LMG 16867	N/A	18793453
2-Methoxy-D-Phenylalanine	C10H13NO3	Staphylococcus aureus	SC01	N/A	25658642
2-Methoxy-D-Phenylalanine	C10H13NO3	Staphylococcus aureus	ATCC 25923	N/A	25658642
2-Methoxy-D-Phenylalanine	C10H13NO3	Staphylococcus epidermis	ATCC 12228	N/A	25658642
2-Methoxyhydroquinone	C7H8O3	Escherichia coli	O157:H7	N/A	27808174
2-Nitro-cinnamaldehyde	C9H7NO3	Vibrio anguillarum	LMG 4411	N/A	18793453
2-Nitro-cinnamaldehyde	C9H7NO3	Vibrio vulnificus	LMG 16867	N/A	18793453
2-Nitro-cinnamaldehyde	C9H7NO3	Vibrio cholerae	CIP 106856	N/A	21249192
2-Nitro-cinnamaldehyde	C9H7NO3	Vibrio harveyi	BB122	N/A	21249192
2-oxindole	C8H7NO	Pseudomonas aeruginosa	PAO1	N/A	22251040
2-phenylethane-1-SO-thioperoxol	C8H10OS	Actinomyces oris	MG1	N/A	25081571
3-(1-Naphthyl)-D-Alanine	C13H13NO2	Staphylococcus aureus	SC01	N/A	25658642
3-(1-Naphthyl)-D-Alanine	C13H13NO2	Staphylococcus epidermis	ATCC 12228	N/A	25658642
3-(2-Furyl)-D-alanine	C7H9NO3	Staphylococcus aureus	SC01	N/A	25658642
3-(2-Furyl)-D-alanine	C7H9NO3	Staphylococcus aureus	ATCC 25923	N/A	25658642
3-(2-Furyl)-D-alanine	C7H9NO3	Staphylococcus epidermis	ATCC 12228	N/A	25658642
"3-(2-Furylmethyl)-2-{[(5-hydroxy-1H-pyrazol-3-yl)methyl]sulfanyl}-3,5,6,7-tetrahydro-4H-cyclopenta[4,5]thieno[2,3-d]pyrimidin-4-one"	C18H16N4O3S2	Acinetobacter baumannii	19606	N/A	25313216
"3-(2-Furylmethyl)-2-{[(5-hydroxy-1H-pyrazol-3-yl)methyl]sulfanyl}-3,5,6,7-tetrahydro-4H-cyclopenta[4,5]thieno[2,3-d]pyrimidin-4-one"	C18H16N4O3S2	Pseudomonas aeruginosa	PAO1	N/A	25313216
"3-(2-Furylmethyl)-2-{[(5-hydroxy-1H-pyrazol-3-yl)methyl]sulfanyl}-3,5,6,7-tetrahydro-4H-cyclopenta[4,5]thieno[2,3-d]pyrimidin-4-one"	C18H16N4O3S2	Salmonella enterica	Serovar Typhimurium JSG210	N/A	25313216
"3-(2-Furylmethyl)-2-{[(5-hydroxy-1H-pyrazol-3-yl)methyl]sulfanyl}-3,5,6,7-tetrahydro-4H-cyclopenta[4,5]thieno[2,3-d]pyrimidin-4-one"	C18H16N4O3S2	Salmonella Typhi	JSG624	N/A	25313216
"3-(2-Furylmethyl)-2-{[(5-hydroxy-1H-pyrazol-3-yl)methyl]sulfanyl}-3,5,6,7-tetrahydro-4H-cyclopenta[4,5]thieno[2,3-d]pyrimidin-4-one"	C18H16N4O3S2	Staphylococcus aureus	USA300	N/A	25313216
3-(2-Naphthyl)alanine	C13H13NO2	Staphylococcus aureus	SC01	N/A	25658642
3-(2-Naphthyl)alanine	C13H13NO2	Staphylococcus epidermis	ATCC 12228	N/A	25658642
3-(2-Naphthyl)-D-alanine	C13H13NO2	Staphylococcus aureus	SC01	N/A	25658642
3-(2-Naphthyl)-D-alanine	C13H13NO2	Staphylococcus aureus	ATCC 25923	N/A	25658642
3-(2-Naphthyl)-D-alanine	C13H13NO2	Staphylococcus epidermis	ATCC 12228	N/A	25658642
3-(2-Pyridinyl)alanine	C8H10N2O2	Staphylococcus aureus	SC01	N/A	25658642
3-(2-Pyridinyl)alanine	C8H10N2O2	Staphylococcus aureus	ATCC 25923	N/A	25658642
3-(2-Thienyl)alanine	C7H9NO2S	Staphylococcus aureus	SC01	N/A	25658642
3-(2-Thienyl)alanine	C7H9NO2S	Staphylococcus aureus	ATCC 25923	N/A	25658642
3-(2-Thienyl)alanine	C7H9NO2S	Staphylococcus epidermis	ATCC 12228	N/A	25658642
3-(2-Thienyl)-D-alanine	C7H9NO2S	Staphylococcus aureus	SC01	N/A	25658642
3-(2-Thienyl)-D-alanine	C7H9NO2S	Staphylococcus aureus	ATCC 25923	N/A	25658642
3-(2-Thienyl)-D-alanine	C7H9NO2S	Staphylococcus epidermis	ATCC 12228	N/A	25658642
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Enterococcus faecalis	ATCC 51299 (VRE)	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Enterococcus faecalis	F217	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Enterococcus faecalis	F317	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Enterococcus faecalis	ATCC 51575	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Enterococcus faecalis	F177	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Enterococcus faecium	EF208	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Enterococcus faecium	1401	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Enterococcus faecium	EF1509	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Enterococcus faecium	F1181	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Enterococcus gallinarum	2392	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Escherichia coli	ATCC 25922	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Pseudomonas aeruginosa	PAO1	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus aureus	ATCC 35556	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus aureus	MRSA-47263	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus aureus	MRSA-58336	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus aureus	MSSA	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus aureus	MRSA-27687	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus aureus	NCTC 8325	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus aureus	MRSA-14234	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus aureus	MRSA-24102	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus aureus	MRSA-33548	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus aureus	MRSA-35392	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus aureus	MRSA-43349	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus aureus	MW2	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus aureus	MRSA-22733	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus aureus	MRSA-38230	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus aureus	MRSA-49404	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus aureus	MRSA-44081	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus aureus	MRSA-24209	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus aureus	MRSA-1094	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus aureus	MRSA-23542	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus epidermidis	ATCC 35984	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus epidermidis	GTC 18972	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus epidermidis	O-47	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus epidermidis	WTBF-41 (CoNS)	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus epidermidis	WTBF-45 (CoNS)	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus epidermidis	WTBF-48 (CoNS)	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus epidermidis	WTBF-47 (CoNS)	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus epidermidis	WTBF-40 (CoNS)	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus epidermidis	WTBF-46 (CoNS)	N/A	19651903
3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C18H14FNO3S2	Staphylococcus epidermidis	1457	N/A	19651903
3-(3-Pyridinyl)alanine	C8H10N2O2	Staphylococcus aureus	SC01	N/A	25658642
3-(3-Pyridinyl)alanine	C8H10N2O2	Staphylococcus aureus	ATCC 25923	N/A	25658642
3-(3-Pyridinyl)alanine	C8H10N2O2	Staphylococcus epidermis	ATCC 12228	N/A	25658642
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Enterococcus faecalis	ATCC 51299 (VRE)	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Enterococcus faecalis	F217	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Enterococcus faecalis	F317	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Enterococcus faecalis	ATCC 51575	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Enterococcus faecalis	F177	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Enterococcus faecium	EF208	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Enterococcus faecium	1401	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Enterococcus faecium	EF1509	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Enterococcus faecium	F1181	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Enterococcus gallinarum	2392	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Escherichia coli	ATCC 25922	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Pseudomonas aeruginosa	PAO1	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus aureus	ATCC 35556	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus aureus	MRSA-47263	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus aureus	MRSA-58336	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus aureus	MSSA	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus aureus	MRSA-27687	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus aureus	NCTC 8325	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus aureus	MRSA-14234	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus aureus	MRSA-24102	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus aureus	MRSA-33548	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus aureus	MRSA-35392	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus aureus	MRSA-23542	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus aureus	MRSA-43349	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus aureus	MW2	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus aureus	MRSA-22733	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus aureus	MRSA-38230	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus aureus	MRSA-49404	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus aureus	MRSA-44081	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus aureus	MRSA-24209	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus aureus	MRSA-1094	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus epidermidis	ATCC 35984	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus epidermidis	GTC 18972	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus epidermidis	O-47	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus epidermidis	WTBF-41 (CoNS)	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus epidermidis	WTBF-45 (CoNS)	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus epidermidis	WTBF-48 (CoNS)	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus epidermidis	WTBF-47 (CoNS)	N/A	19651903
3-(4-fluorophenyl)-5-(3-(allyloxy)-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one	C19H14FNO3S2	Staphylococcus epidermidis	WTBF-40 (CoNS)	N/A	19651903
